,,,,,,,,,,,Touches,Touches,Touches,Touches,Touches,Touches,Touches,Dribbles,Dribbles,Dribbles,Dribbles,Dribbles,Carries,Carries,Carries,Receiving,Receiving,Receiving,,,
Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Succ,Att,Succ%,#Pl,Megs,Carries,TotDist,PrgDist,Targ,Rec,Rec%,Miscon,Dispos,Match Report
2020-09-04,Fri,UEFA Nations League,League B,Home,L 1–2,no Norway,at Austria,Y,LM,59,,,,,,,,,,,,,,,,,,,,,Match Report
2020-09-20,Sun,Serie A,Matchweek 1,Away,L 0–3,Sampdoria,Juventus,Y,CMRM,69,33,3,8,18,7,4,33,1,1,100.0,1,1,17,61,28,23,21,91.3,0,3,Match Report
2020-09-26,Sat,Serie A,Matchweek 2,Home,L 2–3,Sampdoria,Benevento,N,DM,32,25,0,5,13,7,0,25,0,0,,0,0,13,40,15,15,11,73.3,0,1,Match Report
2020-10-02,Fri,Serie A,Matchweek 3,Away,W 2–1,Sampdoria,Fiorentina,Y,DM,90,43,2,11,25,7,0,43,0,0,,0,0,19,98,62,32,25,78.1,2,0,Match Report
2020-10-08,Thu,Euro Qualifying,Semi-finals,Home,L 1–2,no Norway,rs Serbia,N,,5,,,,,,,,,,,,,,,,,,,,,Match Report
2020-10-17,Sat,Serie A,Matchweek 4,Home,W 3–0,Sampdoria,Lazio,Y,DM,90,48,2,15,29,8,1,46,1,1,100.0,1,0,30,102,37,30,27,90.0,0,1,Match Report
2020-10-24,Sat,Serie A,Matchweek 5,Away,W 3–1,Sampdoria,Atalanta,Y,CM,90,32,1,12,13,7,1,32,0,0,,0,0,16,46,28,23,17,73.9,1,1,Match Report
2020-10-27,Tue,Coppa Italia,Third round,Home,W 1–0,Sampdoria,Salernitana,N,,27,,,,,,,,,,,,,,,,,,,,,Match Report
2020-11-01,Sun,Serie A,Matchweek 6,Home,D 1–1,Sampdoria,Genoa,Y,DM,90,50,0,11,32,7,2,50,0,1,0.0,0,0,32,150,71,31,29,93.5,0,2,Match Report
2020-11-07,Sat,Serie A,Matchweek 7,Away,L 0–2,Sampdoria,Cagliari,Y,DM,90,42,0,5,25,14,3,42,2,2,100.0,2,0,27,126,52,33,26,78.8,3,0,Match Report
2020-11-22,Sun,Serie A,Matchweek 8,Home,L 1–2,Sampdoria,Bologna,Y,CM,90,49,5,18,16,16,2,48,0,1,0.0,0,0,14,88,48,51,26,51.0,2,1,Match Report
2020-11-26,Thu,Coppa Italia,Round of 16,Home,L 1–3,Sampdoria,Genoa,Y,,90,,,,,,,,,,,,,,,,,,,,,Match Report
2020-11-30,Mon,Serie A,Matchweek 9,Away,D 2–2,Sampdoria,Torino,Y,DM,90,40,2,8,21,15,1,40,0,1,0.0,0,0,19,90,54,37,27,73.0,1,0,Match Report
2020-12-06,Sun,Serie A,Matchweek 10,Home,L 1–2,Sampdoria,Milan,Y,CM,90,38,1,13,17,9,3,38,1,1,100.0,1,0,14,57,28,30,17,56.7,1,0,Match Report
2020-12-13,Sun,Serie A,Matchweek 11,Away,L 1–2,Sampdoria,Napoli,Y,CM,90,36,1,13,21,3,1,35,0,0,,0,0,18,116,56,27,23,85.2,1,0,Match Report
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-19,Sat,Serie A,Matchweek 13,Home,W 3–1,Sampdoria,Crotone,N,RB,83,58,0,15,29,17,1,51,1,1,100.0,1,0,29,185,112,43,39,90.7,1,1,Match Report
2020-12-23,Wed,Serie A,Matchweek 14,Home,L 2–3,Sampdoria,Sassuolo,Y,DM,36,17,2,2,10,6,2,16,0,0,,0,0,6,54,26,11,8,72.7,0,0,Match Report
2021-01-03,Sun,Serie A,Matchweek 15,Away,L 0–1,Sampdoria,Roma,Y,CM,90,38,4,10,21,8,1,37,2,2,100.0,2,0,14,52,29,35,23,65.7,1,0,Match Report
,,,,,5-2-11,,,14/18,,1301,549,23,146,290,131,22,536,8,11,72.7,8,1,268,1265,646,421,319,75.8,13,10,