,,,,,,,,,,,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,SCA,SCA,Passes,Passes,Passes,Passes,Carries,Carries,Dribbles,Dribbles,
Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Press,Tkl,Int,Blocks,xG,npxG,xA,SCA,GCA,Cmp,Att,Cmp%,PrgDist,Carries,PrgDist,Succ,Att,Match Report
2020-09-04,Fri,UEFA Nations League,League B,Home,L 1–2,no Norway,at Austria,Y,LM,59,0,0,0,0,0,0,0,0,,,,0,,,,,,,,,,,,,,,Match Report
2020-09-20,Sun,Serie A,Matchweek 1,Away,L 0–3,Sampdoria,Juventus,Y,CMRM,69,0,0,0,0,2,0,0,0,33,24,1,1,5,0.2,0.2,0.1,1,0,19,21,90.5,98,17,28,1,1,Match Report
2020-09-26,Sat,Serie A,Matchweek 2,Home,L 2–3,Sampdoria,Benevento,N,DM,32,0,0,0,0,0,0,0,0,25,15,1,0,2,0.0,0.0,0.0,2,0,12,20,60.0,52,13,15,0,0,Match Report
2020-10-02,Fri,Serie A,Matchweek 3,Away,W 2–1,Sampdoria,Fiorentina,Y,DM,90,0,0,0,0,0,0,1,0,43,27,4,1,0,0.0,0.0,0.0,3,0,22,34,64.7,146,19,62,0,0,Match Report
2020-10-08,Thu,Euro Qualifying,Semi-finals,Home,L 1–2,no Norway,rs Serbia,N,,5,0,0,0,0,0,0,0,0,,,,0,,,,,,,,,,,,,,,Match Report
2020-10-17,Sat,Serie A,Matchweek 4,Home,W 3–0,Sampdoria,Lazio,Y,DM,90,0,0,0,0,0,0,1,0,48,43,3,1,3,0.0,0.0,0.0,1,0,33,41,80.5,147,30,37,1,1,Match Report
2020-10-24,Sat,Serie A,Matchweek 5,Away,W 3–1,Sampdoria,Atalanta,Y,CM,90,1,0,0,0,1,1,0,0,32,33,2,0,4,0.3,0.3,0.0,1,1,17,21,81.0,80,16,28,0,0,Match Report
2020-10-27,Tue,Coppa Italia,Third round,Home,W 1–0,Sampdoria,Salernitana,N,,27,0,0,0,0,0,0,0,0,,,,0,,,,,,,,,,,,,,,Match Report
2020-11-01,Sun,Serie A,Matchweek 6,Home,D 1–1,Sampdoria,Genoa,Y,DM,90,0,0,0,0,1,0,1,0,50,20,4,1,2,0.1,0.1,0.1,1,0,37,41,90.2,227,32,71,0,1,Match Report
2020-11-07,Sat,Serie A,Matchweek 7,Away,L 0–2,Sampdoria,Cagliari,Y,DM,90,0,0,0,0,0,0,0,0,42,23,2,0,3,0.0,0.0,0.0,0,0,22,30,73.3,118,27,52,2,2,Match Report
2020-11-22,Sun,Serie A,Matchweek 8,Home,L 1–2,Sampdoria,Bologna,Y,CM,90,1,0,0,0,1,1,1,0,49,25,4,0,2,0.1,0.1,0.0,3,0,22,35,62.9,134,14,48,0,1,Match Report
2020-11-26,Thu,Coppa Italia,Round of 16,Home,L 1–3,Sampdoria,Genoa,Y,,90,0,0,0,0,0,0,0,0,,,,0,,,,,,,,,,,,,,,Match Report
2020-11-30,Mon,Serie A,Matchweek 9,Away,D 2–2,Sampdoria,Torino,Y,DM,90,0,0,0,0,0,0,0,0,40,26,3,1,1,0.0,0.0,0.1,4,0,23,32,71.9,152,19,54,0,1,Match Report
2020-12-06,Sun,Serie A,Matchweek 10,Home,L 1–2,Sampdoria,Milan,Y,CM,90,0,0,0,0,2,0,0,0,38,22,5,3,3,0.2,0.2,0.0,0,0,13,23,56.5,62,14,28,1,1,Match Report
2020-12-13,Sun,Serie A,Matchweek 11,Away,L 1–2,Sampdoria,Napoli,Y,CM,90,0,0,0,0,1,0,1,0,36,22,3,0,1,0.1,0.1,0.0,1,0,24,30,80.0,119,18,56,0,0,Match Report
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-19,Sat,Serie A,Matchweek 13,Home,W 3–1,Sampdoria,Crotone,N,RB,83,0,0,0,0,1,0,0,0,58,16,3,2,0,0.1,0.1,0.0,1,0,40,51,78.4,413,29,112,1,1,Match Report
2020-12-23,Wed,Serie A,Matchweek 14,Home,L 2–3,Sampdoria,Sassuolo,Y,DM,36,0,0,0,0,1,0,0,0,17,6,1,0,1,0.0,0.0,0.0,1,0,10,13,76.9,40,6,26,0,0,Match Report
2021-01-03,Sun,Serie A,Matchweek 15,Away,L 0–1,Sampdoria,Roma,Y,CM,90,0,0,0,0,1,1,0,0,38,11,1,0,1,0.3,0.3,0.0,0,0,15,29,51.7,31,14,29,2,2,Match Report
,,,,,5-2-11,,,14/18,,1301,2,0,0,0,11,3,5,0,549,313,37,10,28,1.4,1.4,0.3,19,1,309,421,73.4,1819,268,646,8,11,